Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
老太太	qo⁰⁵lo⁵⁵ȵe³¹	vu³¹lo⁵⁵ne³¹	po¹³lou²¹	mɛ³¹pə⁵⁵lo³¹	po⁵³	ʔa⁵⁵bo⁵⁵lau³¹	ȵɑ³¹qo⁵³	ləɯ¹³tʰai³⁵bo³¹	vu⁵³lu¹¹	maŋ⁵³lo²¹²	va³⁵lɔ²⁴¹	pu⁵⁵lo²¹	ʔau⁵³qo⁵⁵	mai⁵³nai³³	ve³¹lo²³¹	ʑa³³tɕei¹³	va¹³	ȵa³¹³pa³¹³	kɒ⁵⁴pa¹³	ne³¹va⁵⁵ku³¹mje³⁵	wau³⁵ku³⁵	tʰaːi²⁴	ka⁵¹bo³¹	lu²⁴kau³⁵	po⁵³ku⁴²
姑娘	tə⁰²mpʰje³³	tə⁰²mpʰje⁵⁵	to⁴³tsʰai³³	tə̃²⁴mpʰe⁴²; tə̃²⁴ŋko²²	toŋ³²mpje¹³	ti⁵⁵ŋgɦau³⁵	te³⁵mpʰɑ⁴⁴	tei⁵³pʰa³⁵	tɛ³³pʰi⁵³	tei²⁴pʰa³⁵	to³¹pʰa³⁵	tei⁴⁴pʰe¹¹	qo⁰³tʰjei⁵³	taŋ³⁵pʰje⁵³	toŋ³³mpʰa³¹	tu³³kwa⁴²	ŋo⁴²va¹³	ku¹³ȵa³¹³	ku⁴⁴ŋia²¹	ta⁰³pʰui³⁵	pʰai⁵⁵nei⁴⁴	sje⁵⁵toːn³³	mun³³ʃa¹¹	sa⁵³ka⁴²ka³³	sa⁴⁴ʑau⁵³moi⁴⁴
瞎子	ʔa⁰²zo²⁴ma²⁴	ʔə⁰²ðo³⁵mɑ³⁵	ɬi¹³mua¹³	tɬi²²mə̃²²	ɬi¹³moŋ¹³	tu⁵⁵na⁵⁵my⁵⁵	ne³¹cu²²	da¹³mi¹³	ɬju¹¹mɛ¹³	ha¹³tsɿ³³	to³¹tɬjoŋ²⁴mo²²	ɬjeu⁵³me²²	toŋ⁵⁵mei⁴⁴	ha⁵⁵tsɿ⁰³	pu⁵³tɬə²¹	muəŋ²²miŋ⁴²	maŋ³¹kja⁴²	bai¹³kje³¹³	kʰo⁵⁴mo³²	ka⁰³kʰɔ⁵⁵mɔ³⁵ʔa³⁵pʰu³⁵	mɒ¹¹mpʰo⁴⁴	pə³¹tsiŋ³³mɛŋ³¹	ŋwei⁴²blau⁴²	mi⁴²ɬan³⁵	mai⁵³maŋ⁵³
跛子	ʔa⁰²la³¹to²⁴	lɑ³¹to³⁵	tɕe¹³qaŋ⁴³	lɯ⁵⁵tɕɛ³¹	məŋ²²tɕe¹³	li³³qʰaɯ⁵⁵	ne³¹ljɑ³¹	pai³³ta¹³	lja⁵⁵lɛ³³	lja⁴⁴tsɿ³³	to³¹ljeu⁵³lɔ¹³	lja⁵⁵to³³	pa⁵³lja⁴⁴	pai⁵⁵tsɿ⁰³	ŋkʰɔ⁵³	ʔləu³³liaŋ³⁵	nu⁵⁵ko⁴⁴	la⁵⁵tu³⁵; la⁵⁵tsai⁰⁴	pai³³teu⁵⁴	pje³⁵tɔ⁵⁵	ɬei⁴⁴kwe¹¹	tsau²⁴pjet⁵⁵	tau⁵⁵ŋwaːt¹¹	pai³³	
聋子	ʔa⁰²luŋ³¹mbi³¹	ʔə⁰²loŋ³¹mbi³¹	laŋ¹³ntʂe²¹	lã⁵⁵mplɛ⁵⁵	ntæn⁵⁵	ʔa⁵⁵laɯ⁵⁵	ne³¹tu³⁵	ljo³¹mɯ³¹	ɬoŋ⁵⁵zɛ⁵⁵	leŋ²⁴tsɿ³³	na³¹tɬam³¹	ɬuŋ⁵⁵me⁵⁵	loŋ³³	luŋ⁵⁵tsɿ⁰³	no¹³ʈɔ⁵³	nuk³⁵	mpje⁵⁵la¹³	luŋ¹³tsai⁰⁴	leŋ¹³	ka⁰³kʰuŋ⁵⁵ka⁰³tɔŋ²²	mpja³³ðaŋ⁴⁴	m̩³¹noːm³¹toŋ³³	duːŋ³⁵	duə³³tsaŋ³⁵	bju⁵³doŋ⁴⁴
麻子	ʔa⁰²mjuŋ⁵⁵ʈa³³	ko³¹to³⁵mɑ³⁵	noŋ⁴³maŋ³¹		nto³⁵tu²¹	ma³¹tsɿ³¹	mɑ³¹tsi⁵³	ma³¹tsɿ³³	ɬjə⁴⁴tə³¹		na³¹ɣeu³¹nəu³⁵	qa³³teu⁵³	qa⁰³ljeu⁵⁵	ma³³tsɿ⁰³	no¹³ɳʈa⁴²məŋ²²		san⁵³	mai³¹³tsai⁰⁴	ma¹³ty³³	kwen³¹ta⁰³tʰɔ³⁵	mɒ¹¹ntʃe¹¹	ma³¹tsɿ⁵³	min³¹pjen³⁵	ma⁴²tsaŋ³⁵	men⁴⁴pen⁴⁴
哑巴	ʔa⁰²ʔwa⁵⁵	ʔə⁰²ʔwɑ⁵⁵	qo⁴³ʈua¹³	qə⁰²nã²²	məŋ²²ŋaŋ¹³	li³¹mu³¹	ne³¹cɑ²²	ʔa³⁵tsɿ³³	tɛ¹¹nja³⁵	la⁴⁴tsɿ³³	na³¹ma³¹poŋ¹³tju²⁴	nei⁵⁵ʔa⁴⁴po⁴⁴næ⁵³sʰe¹¹	m̩³³pei³⁵kaŋ³¹koŋ⁵⁵	ʔa³¹³tsɿ⁰³	no¹³ŋe²³¹	ŋen⁴⁴	mun⁵⁵pu³³tɕou³¹	na³¹³gwa³⁵	ʔo³³lau⁴⁴	ʔa³⁵taŋ²²	ŋ̩⁵³wei¹¹tʃɒŋ¹¹θeŋ³³	kə³¹nai³¹ʔa⁵³	ʔaːm⁵¹	ʔa³⁵kau³⁵	ʔa²⁴pen⁵³
孤儿	taŋ³¹mbja²⁴	tɑŋ³¹mba³⁵	to⁴³ntʂua¹³	tə̃²⁴mplu²²	toŋ³²mpʐə¹³	ti⁵⁵ndzɦa¹¹	te³⁵qwen³⁵	ku⁵³ə³¹	tɛ³³za¹³		to¹³ȵo²²	ɬei⁴⁴mja²²	taŋ³⁵ta¹¹seŋ³¹	ku⁵⁵ʔe³¹	toŋ³³mpjo²²	toŋ³³pja²²	ŋo⁴²mpja³¹	na³¹³to³¹	teu²¹teu⁴⁴	tʰuk³⁵taŋ²²	θi⁴⁴θəŋ³³nei⁴⁴	toːn³³du¹²	ka⁵⁵hoːn¹¹ʃei⁵¹	ni⁴²sɛ³³	
独子	tu³¹ʔi⁵⁵zaŋ⁵⁵taŋ³¹		tu³¹to⁴³		len²²toŋ³²	lɯ⁵⁵ta⁵⁵tu⁵⁵	tu²²		tɛ³³po³⁵toŋ³¹		tiŋ²⁴to²⁴¹to¹³	tei⁴⁴tuŋ⁵³	taŋ³⁵tʰu⁵⁵	ta³¹nai³³ʑi³⁵	toŋ³³tɔ²¹	toŋ³³tok⁴⁴	tɕi³¹lu³³ŋo⁴²	to³¹ton¹³	teu²¹teu⁴⁴	jɔ⁵⁵ka⁵⁵	tu¹³nei⁴⁴	toːn³³du¹²		du²¹tsɿ⁵³	tu²²lon²²dan⁴⁴
客人	qo⁰⁵qʰei²⁴	ʔə⁰²qʰe³⁵	qʰua⁴⁴	qʰa⁴²	ha³⁵	qʰa³³	ne³¹qʰa⁵³	na³¹qʰai³³	qʰa⁴⁴	qʰɛ⁴⁴	na³¹qʰɛ⁴⁴	nei⁵⁵qʰæ³³	pa⁰³len¹¹	leŋ³¹³	pu⁵³kʰi⁴²	nu⁴²kʰei¹³	nu⁵⁵kʰai⁴⁴	kʰai³⁵kja³³	kʰa³³; he⁵⁴	ne³¹kʰwi³³	nai³³kʰai³⁵	mjen³¹kʰɛ²⁴	mun³³tʃʰe¹¹	tɕʰɛ⁵³	men⁵³ha⁴⁴
朋友	sə³¹ʔjuŋ²⁴mo³¹tə⁰²wai²⁴	tə⁰²wæ³⁵	lua¹³	kɯ¹³pə̃²²	ntsaŋ¹³to¹¹	ʑe⁵³la³¹	ci⁴⁴nɑ³⁵		qa³³pu¹¹		to³¹pu²⁴¹	qa³³pu²¹	qo⁰³paŋ¹¹	buŋ³³ʑeu³¹³	paŋ³¹ʑəu¹³	tʰuəŋ⁴²paŋ²²	ʑi³¹	puŋ³¹³ʑu³¹	taŋ¹³ty³³	ŋɔŋ²²ne³¹	puŋ³¹jəu³³	puŋ³¹ʑəu²³¹	boːŋ³³, ʑau⁴²	buŋ⁴²ʑu⁵³	
木匠	ʔ⁰²zaŋ²⁴ntuŋ²⁴	zɑŋ³⁵ntoŋ³⁵	ku³³ntoŋ⁴⁴	sã²²hu²⁴	saŋ¹³wa²²	mu⁵³tsa³³	mo⁵³tɕɑŋ³⁵	m̩³¹tɕaŋ¹³	ɕaŋ¹³tə⁴⁴	mu³³tsaŋ⁵³	qoŋ³⁵tsaŋ²²ʔo⁴⁴tɕei⁵³	ɕaŋ²²teu³³	pa⁰³saŋ⁵³ʔi⁵⁵tjo³¹	muŋ⁵⁵tɕʰuŋ⁰³	tsɛ²²ntau⁴²	nu⁴²səu¹³taŋ¹³	nu⁴²səu¹³taŋ¹³	nu⁵⁵su³¹ntou⁴⁴	mo³¹tɕon⁵³	mo³³tʰjeu²¹	ʔɔ³³taŋ³³si³³fu³⁵	ntu⁵³ntɒŋ³⁵nai³³	djaːŋ²⁴koŋ³³	moːk⁴²koːŋ³⁵	m̥ɔ²¹tsaŋ⁴²
贼	ʔa⁰²ȵin²⁴	ʔə⁰²len³¹ȵin³⁵	to⁴³ʂaŋ⁴³to⁴³ȵa¹³	tə̃²⁴ʂã²⁴	toŋ³²ʐua²²	dzɯ⁵³	cɔ³¹tɔ⁴²	dʑaŋ³¹təɯ³¹	njaŋ¹³		na³¹tsau²²	ɬue²¹nin²²	ʔi⁵⁵tɕo³³	tsʰau³³	sɛ²²ȵi²²	saŋ²²ȵi²²	ȵi³¹	tsʰau³³	ŋji³²naŋ¹³tʰeu⁴⁴	ka⁰³jin³³na³³	ŋjin¹¹	tsa²²	ta⁴²	tsʰa²¹	ha²⁴
名字	tə⁰²mpei²⁴	tə⁰²mpi³⁵	mpe⁴⁴	mpɛ⁴²	mpæ⁵⁵	mtsɿ³³	mpu⁵³	bu³⁵	zaŋ⁵⁵pi⁴⁴	min²²tsɿ⁴⁴	pai⁴⁴	njaŋ⁵⁵poi³³	ʔa⁰³mo⁵⁵	mjaŋ³³sɿ⁰³	miŋ³¹tsu²²	min⁴²so²²	mpa⁴⁴mi¹³	la⁰⁴bo³⁵	mu⁵⁴	mui³¹	mpʰa³⁵	bo²⁴	bu⁵⁵	bau²⁴	bu⁴²
年纪	tə⁰²nɛ³¹	nen³¹	na³¹ɕoŋ⁴⁴	n̥ə̃²⁴sʰõ⁴²	tɕaŋ⁵⁵	ȵe³⁵ɕau¹¹	tɕu⁵³	təɯ⁵³tsu³³	qa³³njaŋ⁵⁵n̥ju⁴⁴	njen²²tɕi²²	tɔ¹³ȵ̥u⁴⁴	ne⁵⁵nju³³	qa⁰³tɕaŋ⁵⁵	qa⁰³ɬjo³⁵	nen³¹kjei⁵³	pi³³nin⁴²	mu³³tsou⁴⁴	ni³¹³tɕi⁴⁴	ne³³ki³³	vɔŋ³¹sɔŋ²²	ŋ̥jɒ³⁵	ȵ̥aŋ²⁴kei⁵³	ȵaŋ³¹koːŋ³⁵	ȵɛn³¹tjaŋ³⁵	ȵaŋ⁴²
影子	qʰa³¹la³¹wɛ²⁴	kʰɑ³¹la³¹wæ³⁵	tɬua⁴³	qə⁰²vi³¹vã⁵⁵	ɭa³²	ʔa³³ntsau³³	qo³⁵cɑ³⁵	ki⁰³dʑa¹³	qa³³ɬju⁵³xʰen⁴⁴	ʑin³³ʑin³³	mo²²n̥o¹³	qa³³pju⁵⁵	ʔa⁰³lja⁵⁵ljei³¹	la⁰³ŋ̩³¹³tsɿ⁰³	kji³³kwa³³	tu⁴⁴kwa³³	kuŋ³¹	in⁵³tsɿ⁰³	ʔan³³	nɔ²²kɔ⁵⁵jaŋ³⁵	ʔin⁵³	ʔɛŋ⁵³tsei⁵³	pa³¹kloːi³⁵	ɛ³⁵	ʔoŋ²⁴
力气	tə⁰²ju²⁴	ʔə⁰²jy³⁵	ʐo¹³	ʐə²²	ʐu¹³	dlɦaɯ³⁵zɦo¹¹	ʐo⁴²	ʑəɯ¹³	ɣə¹³	vou⁵³	ɣeu²²	ɣu²²	ja⁴⁴	ʑa³¹	ʔa⁰²ʐəŋ¹³	muəŋ²²zeŋ⁴²	ȵe³³ɣou³¹	ʑu²²	xji⁵⁴fu³³	vu³⁵	ʃei⁵⁵ŋkjəu¹¹	kʰa⁵⁵	kʰja¹¹	kʰla⁵³	ʑa²²
鬼	qo⁰⁵qlen³¹	ʔə⁰²qlen³¹	tɬaŋ⁴³	tɬõ²⁴	ɬua³²	pi⁵⁵tɬaɯ⁵⁵	tɑ³⁵qwei³⁵	qwai⁵³	ɬjaŋ³³	ɬjan²⁴	tɬjan¹³	ɬjin⁴⁴	kwai³⁵	kwei³⁵; pjau³³	tɬəŋ³³	tɕeŋ³³	kjan³³	la⁰⁴tɬiŋ¹³	kwan⁴⁴	ki²²	kli⁴⁴	mjen⁵³	ŋwan⁵¹	m̥jɛn³⁵	mjan²⁴
祖父	tei³¹tsy⁵⁵	ʔə⁰²ti³¹	ʑeu²⁴	mpə¹³ʑə²²	po⁵⁵	ʔa¹¹ʑɦey¹¹lɦau¹¹	ʔɑ³⁵pʰɯ³⁵	ʔa⁰³pʰa⁵³	qə⁴⁴	qeu⁴⁴	qoŋ³⁵	ʑɔ²²	ʔa⁰³po⁵³	po⁵³	kaŋ³¹	mau¹³	kou⁴⁴	ʔa⁰⁴kŋ³⁵	koŋ²¹	ʔa⁰³kʰuŋ⁵³	pe⁵³kuŋ⁴⁴	ʔoŋ³³	koŋ³⁵	kɔŋ³³	kuŋ⁴⁴
祖母	ȵe³¹tsy⁵⁵	ʔə⁰²ne³¹	po¹³	mɛ²²pə⁵⁵	po⁵³	ʔa⁵⁵bo⁵⁵lau³¹	ʔɑ³⁵ȵɑ³¹	ȵaŋ³⁵ȵaŋ³⁵	vu⁵³	vo³⁵	va³⁵	pu⁵⁵	ʔa⁰³ʔau⁵³	ʔau⁵³	ʑa²¹	ʑa²²	va¹³	ʔa⁰⁴pa³¹³	pa¹³	ʔa⁰³pʰu⁵³	pe⁵³wau³⁵	ku²⁴	ku⁵⁵	pa⁴²	po⁵³
父亲	ʔa⁰²pa⁵⁵	ʔə⁰²pɑ⁵⁵	tsi⁵⁵; vai²⁴	pa¹³	pi⁴²	vɦai³¹	ʔɑ³⁵pɑ³¹; ʔɑ³⁵tɕɑ⁴⁴	ma³¹; tja³³	pa³⁵	pa³³	po³⁵	pa¹³	ʔa⁰³pa⁴²	pa⁵³	po⁵³	po³⁵	po¹³	ʔa⁰⁴ʑa¹³	ja⁴⁴	ʔa⁰²pa⁵³	pe⁵³	ko²⁴; ʑəu²³¹	fa⁵¹	tja³³	ba⁴⁴; bja²⁴
母亲	ʔa⁰²me²⁴	ʔə⁰²men³⁵	na²⁴	mɛ³¹	mi¹³	ȵɦe³¹	ʔɑ³⁵mɑ⁴⁴; ʔɑ³⁵mji²²	nai³⁵	maŋ¹³	vei⁵³	mi²⁴	me⁵³	ʔa⁰³me⁴²	mai⁵³	mi²¹	mei²²	mai³³	ʔa⁰⁴ŋa³¹³	ŋja²¹	ʔa⁰³mi⁵³	nei¹²	ȵaːm³³	dʒi³¹	ȵa³¹	ni⁴⁴; ʑe⁴⁴
儿子	qo⁰⁵taŋ³¹	ʔə⁰²tɑŋ³¹	to⁴³	tə⁰²tə̃²⁴	toŋ³²	tu⁵⁵	te³⁵	tei⁵³	tɛ³³	tei²⁴	ŋo³⁵; to¹³	tei⁴⁴	ʔa⁰³taŋ³⁵	taŋ³⁵	toŋ³³	toŋ³³tsʰeŋ²²	ŋo⁴²	ton¹³	teu⁴⁴	taŋ²²	taŋ⁴⁴	toːn³³	ʔtoːn³⁵	tɔn³³	dan⁴⁴
儿媳	qo⁰⁵ʔȵin³¹	ʔə⁰²ʔȵin³¹	ȵaŋ⁴³	ȵã²⁴	toŋ³²ȵa³²	tu⁵⁵ȵaɯ⁵⁵	ɳen³¹	mei³¹	njaŋ³³	njan²⁴	ȵan¹³	tei⁴⁴ni⁴⁴	ʔa⁰³ma³³	n̩³⁵	ȵəŋ³³	ʔʑəŋ³³	ŋo⁴²ȵan³³	ȵiŋ¹³	ŋji⁴⁴	ne³¹ji²²	ŋji⁴⁴	poːŋ²³¹	boːŋ³¹; ȵaːm³⁵	bɔŋ⁴²	ȵam⁴⁴
女儿	tə⁰²mpʰje³³	ʔə⁰²tɑŋ³¹mpʰje⁵⁵	ntsʰai³³	tə̃²⁴mpʰe⁴²	toŋ³²mpje¹³	ntsʰai¹¹	te³⁵mpʰɑ⁴⁴	tei⁵³pʰa³⁵	tɛ³³pʰi⁵³	tei²⁴pʰa³⁵	to³¹pʰa³⁵	tei⁴⁴pʰe¹¹	ta⁵⁵qa⁰³tʰjei⁵³	pʰje⁵³	toŋ³³mpʰa³¹	toŋ³³pʰa²²	nu⁵⁵va¹³	ta¹³pʰje⁵⁵	teu⁴⁴pʰe⁵⁵	ta⁰³pʰui³⁵	pʰai⁵⁵	sje⁵⁵toːn³³	ʃa¹¹	sa⁵³ka⁴²ka³³	sa⁴⁴
女婿	qʰei²⁴ʔu⁵⁵	ʔə⁰²ʔu⁵⁵	vou⁵⁵	vo¹³	toŋ³²wɔ⁴²	vau⁵⁵	ɕe³⁵	ʔwei⁵⁵	tɕi³⁵	tei²⁴vo³³	ʑa²²	tei⁴⁴ɣɔ¹¹	taŋ³⁵wei³¹	la⁰³vi³¹³	va⁵³	ʔva³⁵	vu¹³	ton¹³vo⁴⁴	ʔo³³teu⁴⁴	ta⁰³pʰui³⁵ve⁵⁵	we⁵³	laːŋ³¹	laŋ³³	bjau⁴²səi²⁴	ve²⁴
孙子	qo⁰⁵ku⁵⁵	ʔə⁰²ku⁵⁵	ku⁵⁵	sʰẽ²⁴nzɯ³¹	kəu⁴²	tɕy⁵⁵	te³⁵ca⁴⁴	ka⁰⁵tei⁵³ȵe¹³	ɬʰaŋ³³	san³⁵	to³¹ɬa¹³	tei⁴⁴tɕi¹³	taŋ³⁵seŋ³¹	seŋ³¹³	ɬan³³	lan³³tsʰen²²	ʑei⁵³	ton¹³tɬʰen¹³kau⁴⁴	ɬen⁴⁴	sɔŋ²²	θəŋ⁴⁴	fun³³toːn³³	tun³⁵ʔtoːn³⁵	sun³³	hun⁴⁴
哥哥	ʔa⁰²nei⁵⁵	ʔə⁰²nin⁵⁵	ti³¹; no²¹	tə⁰²lo³¹	ti⁵³	ʔa⁵⁵mɦau³¹	ʔɑ³⁵nɑ³⁵	ko³³	pə³⁵	pou³³	tei³¹	ta⁵⁵	ʔa⁰³ʔo⁵⁵	lau⁰³pa⁵⁵	to¹³	tʰu⁴²	tɕi¹³to⁵⁵lo⁵³	ʔa⁰⁴tje³¹	ku⁴⁴	ʔa⁰³te⁵³	ljaŋ³¹	ko²⁴toːn³³	ko³⁵	kɔ³³	ko⁴⁴
姐姐	ʔa⁰²ta²⁴	ʔə⁰²tɑ³⁵	ve⁵⁵	ʔɛ¹³	ʔæ⁴²	ʔa⁵⁵zi³³	ʔɑ³⁵ʑɑ⁴²	ʑa³⁵ʑa³⁵	ʔa³⁵	tsa³⁵	ʔa⁵³	ʔe¹³	ʔa⁰³tɕa³¹	qo⁰³kwei³¹³	ʔe⁵³	ʔe³⁵	tɕi¹³ʔa¹³lo⁵³	ʔa⁰⁴ʔa⁴⁴	ta²¹	ʔa⁰³te³⁵	te³³	to²¹	ʔu⁵¹	tsəi³⁵	ti²⁴
弟弟	qo⁰⁵ku⁵⁵	ɕoŋ⁵⁵ti³⁵	ku⁵⁵; no²¹	kɯ¹³	kəu⁴²	tɕy⁵⁵	te³⁵kɯ⁴⁴	təɯ⁵⁵ti³¹	ʔu⁴⁴	ne³⁵	ŋɔ³⁵	tɕi¹³pa¹³ʑo²²	ʔa⁰³we³⁵	lau⁰³tʰe⁵³	kjə⁵³toŋ³³kjiŋ²²	tɕəu³⁵tsʰeŋ²²	tɕi¹³ʔa¹³ʔiŋ¹³	ʔa⁰⁴kau⁵⁵	te²¹	nɔ³¹tʰe⁵³	nuŋ¹¹taŋ⁴⁴	ʑəu²³¹	zeu³¹	ni³⁵pa⁵³	kui²⁴
妹妹	qo⁰⁵ku⁵⁵tə⁰²mpʰje³³	mei³⁵	mua¹³	kɯ¹³tə̃²⁴mpʰe⁴²	ŋa⁵⁵; wa²¹	tɕy⁵⁵	kɯ⁴⁴me²²	mei³⁵	to³⁵; nja⁵³	ŋa¹³	ŋɔ³⁵	tɕi¹³tei⁴⁴pʰe¹¹	ʔa⁰³tjei⁵³	taŋ³⁵kwei³¹³	kjə⁵³toŋ³³mpʰa³¹	tɕəu³⁵pʰa²²	ŋo⁴²ʔa¹³ʔiŋ¹³	ʔa⁰⁴mai³⁵	mui²¹	ta⁰³pʰui³⁵kju⁵⁵	nuŋ¹¹pʰai⁵⁵	mo²³¹	mu⁴²	tjui⁵³sa⁵³	moi⁴⁴
嫂子	ʔa³¹ʔȵin³¹	ʔə⁰²mbo⁵⁵	ȵaŋ⁴³ti³¹	ȵã²⁴	ʔæ⁴²	ʔa⁵⁵ȵaɯ⁵⁵	tɑ³⁵sɔ⁵³	ʔa⁰³gɯ¹³	njaŋ³³	tei⁵³njaŋ²²	ȵan¹³	ni⁵⁵ljeɯ⁴⁴	ʔa⁰³ma³³	ko³³	ȵəŋ³³	ʔe³⁵ʔʑəŋ³³	mai³³lo⁵³	ʔa⁰⁴sau⁴⁴	tə⁰³ɬau⁴⁴	ʔa⁰³ji²²taŋ²²	ŋji⁴⁴	ȵaːm³³	ȵaːm³⁵	ȵan³³	ȵam⁴⁴
舅父	men²⁴nei⁵⁵	qen⁵⁵nin⁵⁵	ʑeu²⁴tɬaŋ⁴³	pa¹³nə̃³¹	tɕi⁴²noŋ¹¹	ʔa¹¹ʑɦey¹¹ɬa¹¹	ʔɑ³⁵ne²²	tɕəɯ³¹ʑe³¹	tɛ³³nen¹¹	ten⁴⁴nen²¹²	to³¹nei²⁴¹	nue²¹	ʔa⁰³noŋ³¹	ʔa⁰³nuŋ³¹	noŋ²³¹	noŋ⁴⁴	neŋ⁵³po¹³	ʔa⁰⁴ni³¹	tə⁰³kjau²¹	ʔa⁰³kuŋ³³	pe⁵³no³¹	nau²³¹	nau³¹	nau⁴²	nuŋ⁴⁴
舅母	vu³¹nei⁵⁵	ʔə⁰²vu³¹	na²⁴tɬaŋ⁴³	mɛ²²ȵaŋ²⁴	ȵen³³noŋ¹¹	ʔa¹¹bo⁵⁵ɬa¹¹	cɯ³⁵ȵɑŋ³¹	tɕəɯ³¹m̩³⁵ȵaŋ³¹	to³⁵mu¹³	ta²¹²meŋ⁵³	to³¹meŋ²²	te²²nue²¹	ʔa⁰³no¹¹	nuŋ³¹ʔo³¹³	ta⁵³	pa³⁵; mei²²na³³	neŋ⁵³mai³³	ʔa⁰⁴muŋ⁴⁴	kjau²¹mə⁴⁴ŋja²¹	ʔa⁰³kʰi³⁵muŋ³¹	no³¹wa⁵³	mjaŋ³¹; ʔau⁵³	ŋwaŋ³³	mjaŋ³¹	mjaŋ⁵³
丈夫	qo⁰⁵ʐuŋ⁵⁵	ʔə⁰²ʐoŋ⁵⁵	ʑeu¹³; vou⁵⁵	qə⁰²pa¹³	ʂəŋ¹¹	vau⁵⁵	po⁴⁴	qa⁰³ŋ̩¹³	ʑu¹³	ʑo¹³	ʑa²²	ɣɔ¹³	ʔa⁰³wei³¹	tɕi³¹nai³³	kaŋ⁵³	kaŋ²²	tɕuŋ¹³nu⁵⁵tɕai³¹	tɕo⁵³fu¹³	tə⁰³kiŋ³³	ne³¹pu⁵⁵	we⁵³	gu²⁴	laŋ³³	bu³⁵	tɕaŋ²²
妻子	qo⁰⁵ʂei⁵⁵	ʔə⁰²si⁵⁵	po³¹; ȵaŋ⁴³	qa⁰²mɛ²²	ʐæ²³²	ȵaɯ⁵⁵	ʔɯ⁴⁴	qa⁰³pʰa³⁵	vi⁵⁵; njaŋ³³	vei³³	ȵan¹³	ni⁵⁵	ʔa⁰³ma³³	la⁰³ʔo³¹³	ve⁵³	ʔve³⁵	tɕuŋ¹³nu⁵⁵va¹³	le¹³va⁴⁴	ŋji⁴⁴	ne³¹va⁵⁵	wa⁵³	ʔau⁵³	ʔaːu⁵¹	kau³⁵	sa⁴⁴
身体	tə⁰²tɕi⁵⁵	tə⁰²tɕi⁵⁵	tɕe⁵⁵	qə⁰²tɕɛ¹³	tɕæ⁴²	ʔa³³tɕi⁵⁵	qo³⁵tɕɯ⁴⁴	ki⁰³tjəɯ⁵⁵	qa³³tɕi³⁵	qa³³tɕei³³	ti⁵³	qa³³tɕi¹³	ʔa⁰³taŋ³¹	nti³⁵taŋ³¹³	ʔa⁰²nɛ³³	tsuəŋ³³ʔlaŋ³³	tɕei¹³	la⁰⁴diŋ³⁵	sen⁴⁴tʰi³³	kwe³¹; ne³¹	tja⁵³	sin³³	teːn¹¹	ʑɛn⁴²ɕɛn³³	tan⁴⁴
头	ʔa⁰²xu⁵⁵	ʔə⁰²xu⁵⁵	hou⁴⁴	qə⁰²ho¹³	wɔ³⁵	li³³fau³³	ko⁴⁴pʐei⁴⁴	la³³fei⁵⁵	qʰo³³	qa³³ho³³	feŋ⁵³	pɔ¹¹hɔ¹³	ʔa⁰³toŋ³³ti³¹	ʔa⁰³tsei³¹³	fa⁵³	va³⁵	kʰan³³	la⁰⁴fo⁴⁴	ha²¹kʰo⁵⁵	kaŋ³⁵kʰu³³	ŋkau⁵³	ŋ̩³¹goːŋ⁵³	pjei³¹kʰu¹¹	pli³⁵	pe²⁴
头发	tə⁰²pleu³¹u⁵⁵	tə⁰²pleu³¹xu⁵⁵	plou⁴³hou⁴⁴	plo²⁴	plɔ³²wɔ³⁵	tɬau⁵⁵fau³³	qo³⁵pji³⁵	nuŋ³¹fei⁵³	qa³³ɬju³³qʰo³³	ɬjo²⁴	tɬjɔ¹³fəŋ⁵³	pjɔ⁴⁴hɔ¹³	ti³⁵	tsei³¹³pi³⁵	pla³³fa⁵³	tɕa³³va³⁵	kju³³kʰan³³	fo⁴⁴pjo¹³	ha²¹pja⁴⁴	kaŋ³⁵kʰu³³pi²²	ŋkau⁵³ple⁴⁴	m̩³¹pei³³	pjei⁵¹kʰu¹¹pjei³⁵	pli³³dzɔŋ³³	pe⁴⁴
辫子	mbja³³tə⁰²pləu³¹χu⁵⁵	mben⁵⁵	mau³¹tua²⁴		mpin¹¹	ndzie³³	mpɛ³⁵pji³⁵		qa³³tɛ³⁵mi¹¹	peŋ²¹²peŋ²¹²	feŋ⁵³ŋwe²²	pjɔ⁴⁴me²¹	qeŋ³⁵ti³⁵	tei³³tsei³¹³pi³⁵	mpəŋ²³¹pla³³	pi⁴⁴mau⁴²	mpai⁵³kʰan³³	pin¹³tsai⁰⁴	pjen³²ti³³	pin⁵³pin⁵³	pin¹¹	m̩³¹pei³³bin²³¹	teu⁵⁵bjen³¹	tʰu³³	pin⁴⁴
