arrow	mijak	mẽt	mẽt	məthua	mẽt	dʒili	mik	mik	ɾiʔ	ɾiʔ	ɾiʔ	miʔ	miʔ
spear	tʃijoŋ	dʒoŋ	tʃijoŋ	tʃijoŋ	dʒijoŋ	dʒoŋ	zat̪i	dʒuŋ	dʒoŋ	dʒoŋ	ʃei	–	tiŋkaŋ
fire	boe	boe	boe	bai	boe	ba	ba	be	beʔ	be	ba	bei	bei
ashes	spije	spije	spije	sə̆phije	spije	bɾoptʃhaplu	bɾoptʃhaplu	tʃaphlu	tʃăphɾu	tʃăphɾu	tʃaphlu	tʃhuba	tʃukphak
smoke	bukhu	bamkham	boekhau	baiŋkham	boemokhəm	baky	baky	baky	baky	bakhy	bakhy	bukhu	bukhu
candle	buematʃou	mumbati	botʃua	mumbati	mumbati	mumbati	mumbati	–	mumbati	mumbati	–	–	mumbati
boat	naw	naw	na	nau	khiuŋ	nau	naw	khĭ	nõ	nõ	–	–	naw
road	ləmua	ləmua	ləmua	ləmua	ləmua	ləmu	ali	lym	gaɾilym	lymădoʔ	gaɾilym	huma	huma
path	ləua	luməa	ləua	ləmuthuaʔ	ləmuaʃija	ləmu	nə̆mu	lym	lym	lymtʃand̪oʔ	ham	huma	huma
to go	vəwa	thevəə	lua	dun	vəopha	oŋtʃeŋ	ʔoŋmo	ɾum	ʔoŋboʔ	oŋba	ʔoŋmo	uŋdeʔ	uŋdeʔ
to come	tən	thavəə	thavəə	thavəə	gunpha	rantʃeŋ	ago	kheɾnim	ʔoŋgo	ʔoŋniba	uŋgei	luŋdeʔ	dʒa
to stand	rio	rio	rioma	dʒoi	dʒaimage	khimu	khimo	tʃeimuʔ	joʔtʃibo	tʃiba	tʃima	khiŋgide	khiŋma
to sit	tuk	duk	dukma	dəkmu	dukmage	duŋmo	dymoʔ	dymuʔ	dymo	dymba	deiŋma	duŋdʒuma	dʒuʔ; dʒuma
to rest	thum	thuŋ	thuŋmage	thuŋmu	thuŋmage	thuŋmo	thuŋmo	atʃolumu	tʃalomo	tʃoŋloma	thuŋmo	ʃiʃoʔlama	tʃoʔlama
to walk	lua	lua	luamage	lua	luapha	ɾomo	ɾomo	tʃouʔ	ʔoʔkhaŋ	ɾoba	ɾome	wama	maɲu
to fly	khei	khei	khemage	kheŋpha	kheipha	tʃanmo	tʃhanmo	tʃenɾoba	tʃankhan	tʃhanba	tʃen	ʃeroŋde	ʃerbaʔ
