No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
198	leaf	叶子	*pʰe̠ᶫ	pʰɛ̠²¹	sɿ⁴⁴pʰɛ⁵³	ɕi³³pʰei⁴²	sɿ³⁵³pʰɛi³³	jɛ²¹pʰɛ²¹	ɛ³³pʰi̠²¹	sɿ⁵⁵pʰai⁵⁵
199	sprout	芽(种子芽)	*bɨ̠ᴴ	bi³³	bɨ⁴⁴	ja³³dzei²⁴zɔ²¹	ja³³dʐɛ˞³³	jɛ²¹bɨʔ³³	ɛ³³luʲ⁵⁵jo³¹	dzɛ˞³³
200	flower	花	*ga¹lu³	ɦa⁵⁵lə³³ʔvɛ̠³³	ɣa²⁴lv̩³³	gɔ²⁴lɔ³³	gɤ̪˞²⁴nɤ̪˞³³	gu⁵⁵lu³³	ga²⁴lu³³	gɛ˞³³no³³
201	wood	木	*si̠ᴴda¹	sɿ̠³³da⁵⁵	sɿ⁴⁴da⁴⁴	mɛ⁵⁵tɤ̪⁵⁵	sɿ³⁵³tʰy³³	ɕiʔ³³	ɕi³³do²⁴	sɿ⁵⁵da³³
202	board (a)	板子	*pɛ³		te²¹pɛ³³	pɛ³³	sɿ³⁵³pɛ˞³³			pɛ˞³³
202	board (b)	板子	*pʰe²	ti̤²¹pʰi̤²¹				to²¹pʰɛ²¹	ta³³pʰi²¹	
203	stick	棍子	*ʔmɛ¹tu¹	ʔmɛ⁵⁵tə⁵⁵kʰɨ⁵⁵	mɛ⁴⁴tu⁴⁴	mɛ⁵⁵tɤ̪⁵⁵	mɛ˞⁴⁴tɛ˞⁴⁴	a⁵⁵tũ⁵⁵	pa²⁴tsʰa²¹	ka⁴⁴tsɿ³³
203	stick	棍子	*ʔmɛ¹tu¹	ʔmɛ⁵⁵tə⁵⁵kʰɨ⁵⁵	mɛ⁴⁴tu⁴⁴	mɛ⁵⁵tɤ̪⁵⁵	mɛ˞⁴⁴tɛ˞⁴⁴		pa²⁴tsʰa²¹	ka⁴⁴tsɿ³³
204	branch	树枝	*si̠ᴴka̠ᶫle̠ᶫ	sɿ̠³³pʰḁ²¹	sɿ⁴⁴ka⁵³	ɕi³³ku³³lei⁴²	sɿ³⁵³ka³³lɛi³³	ɕi³³ka²¹la²¹	ɕi³³do²⁴ka³³la̠²¹	sɿ⁵⁵lə²¹
205	tree bark	树皮	*si̠ᴴgi¹ko̠ᴴ	sɿ̠³³gɨ⁵⁵	sɿ⁴⁴gɨ²⁴	ɕi³³dzei²⁴gə⁴²	sɿ³⁵³gɨ²⁴ku̠³³	ɕi³³gi⁵⁵	ɕi³³ka̠²¹ku³³	sɿ⁵⁵gɨ³³gɨ³³
206	unhulled rice	谷子(稻谷)	*tʃʰe¹se²	tɕʰi⁵⁵,tɕʰi⁵⁵sɛ²¹	tɕʰi⁴⁴sɛ²¹	tɕʰi⁵⁵sɛ²¹	tɕʰi³⁵²sɛ²¹	tɕi⁵⁵sɛ²¹	tɕi²⁴ɕɛ²¹	tɕʰi⁵⁵sɛ˞⁴¹
207	rice (grains)	米	*dza²kʰa¹	dza²¹kʰa⁵⁵	dza²¹kʰa⁴⁴	tɕʰi⁵⁵fɤ̪⁵⁵	dzo²⁴kʰɤ̪˞⁵³	dzo²¹kʰo⁵⁵	dzo²¹kʰo²⁴	tɕʰi⁵⁵fv̩³³
208	cooked rice	饭	*dza¹	dza⁵⁵	dza²⁴	dzɔ²⁴	dzo²⁴	dzo⁵⁵	dzo²⁴	dza³³
209	glutinous rice	糯米	*tʃʰe¹ɲa²	tɕʰi⁵⁵nə̤²¹dza²¹kʰa⁵⁵	tɕʰi⁴⁴nv̩²¹	tɕʰi⁵⁵ɲia²¹fɤ̪⁵⁵	tɕʰi³⁵²ɲa²¹pʰᶠɤ̪⁵³	tɕʰi⁵⁵ɲa²¹	tɕʰi³³nɛ²¹	tɕʰi⁵⁵ɲa⁴¹
210	rice seedling	秧苗	*ʔli²	ʔʐʅ̠²¹	ʝi⁵³	li²¹	tɕʰi³⁵²ʐʅ²¹	lɨ²¹	lɨ²¹	jaŋ³³
211	rice hulls	稻壳	*tʃʰe¹pʰɛ²	tɕʰi⁵⁵pʰɛ̤²¹	tɕʰi⁴⁴pʰɛ²¹	tɕʰi⁵⁵pʰɛ²¹	tɕʰi³⁵²pʰɛ˞²¹	tɕi⁵⁵pʰæ²¹	tɕi²⁴pʰɛ²¹, dzo²⁴kɨ²¹	tɕʰi⁵⁵pʰɛ˞⁴¹
212	chaff	谷壳	*ha¹kjo²	ha⁵⁵kø̤²¹	pʰɛ²¹	dzɔ²⁴kʰɔ⁵⁵gə⁴²			ɛ³³vɛ̠ʔ²¹	
213	fruit peel	果皮	*gi¹ko̠ᴴ	gɨ⁵⁵ko³³	gɨ²⁴	ja²¹dʑi³³gə⁴²	gɨ²⁴ku³³	jɛ²¹sɛ²¹gi⁵⁵	ɕɛ²¹ma²⁴kɨ³¹	gɨ³³gɨ³³
214	shell (egg, etc)	皮/壳(蛋)	*kjo²	fv̩³³kø̤²¹	fv̩³³gɨ²⁴	i³³fɤ̪³³gə⁴²	fv˞̩³³kʰo³³	jɛ²¹ko²¹	a²⁴ji³³fv̩³³kɨ²¹	kʰɛ²¹kʰɛ˞⁵³
215	thorn	刺	*dzy²	a⁵⁵dzy²¹	a⁵⁵dʑy²¹	dzə²¹	a⁴⁵dzy²¹	a⁵⁵dʒə²¹	a²⁴dʑi²¹	dzə²¹
216	moss (a)	苔(青苔)	*ɣi¹ɲa̠ᴴbe²	bi̤²¹	ɣɨ³⁵na⁴²be²¹	lɔ³³bɔ³³tsʰɿ²¹	ɣɨ²⁴ʂʅ²¹	na³³xã³³	na²⁴mĩ²¹	fu³³pʰi²¹
216	moss (b)	苔(青苔)	*ɣi¹me²						na²⁴mĩ²¹	
217	fern (a)	蕨草	*da¹vaŋ²	da⁵⁵	da²⁴vv̩²¹	dɔ²⁴ɣə²¹, dɔ²⁴wu²¹		da⁵⁵wo²¹	do²⁴va²¹	da³³gɨ³³
218	yeast	酵母	*dy²	dy²¹	dy²¹	də²¹	dy²¹pa³³	də²¹	dɨ²¹	də²¹
219	ashes	灰(草木灰)	*kʰu²tsʰa¹	kʰə̤²¹tsʰa⁵⁵	kʰv̩²¹tsʰa²⁴	kʰɤ̪²¹tsʰɔ̪⁵⁵	kʰo²¹tsʰo⁴⁵³	kʰu²¹	ko²¹tsʰo²⁴	kʰo²¹tsʰa³³
220	body	身体	*gu¹tsʰɿ²/³	gɨ⁵⁵tʂʰʅ̥²¹	gv̩²⁴tʂʰʅ²¹	gə²⁴tsʰɿ⁵⁵	go²⁴tʂʰʅ²¹dy²¹	gɨ⁵⁵tsʰɿ²¹	ɛ²¹tu³³	go³³tsʰɿ³³
221	head (a)	头	*nu²dy¹	n̩²¹dy⁵⁵	n̩²¹dy²⁴	n̩̩²¹də²⁴kə³³	ŋ̩²¹ka²¹	n̩²¹də⁵⁵	n̩²¹dɨ²⁴ka³³ɕɛ²¹	n̩²¹də³³
222	brains	脑髓	*ʔnu̠ᶫ	ʔnə̠²¹	nu⁵³	nu⁴²	no³³hõ³³	pu⁵⁵no²¹	ɛ³³nu̠²¹	no⁴⁵³
223	forehead	额头	*ʔnu̠ᶫkaŋ¹	ʔnao²¹ko⁵⁵	na⁵⁵ko⁵⁵	nu⁴²ka²¹kə⁵⁵	no⁴⁵³ko³³dzɿ²⁴	ŋ̩²¹ko⁵⁵tɕɛ⁵⁵	na³³kʰa̠²¹tɕi²⁴	no⁴⁴kʰo⁵³
224	head hair	头发	*n̩²tsʰy¹	n̩²¹tsʰy⁵⁵	n̩²¹tɕʰy²⁴	n̩²¹tsʰə⁵⁵	n̩²¹tsʰy⁴⁵³	n̩²¹də⁵⁵tsʰə⁵⁵	ŋ̩²¹tsʰə²⁴	n̩²¹tsʰə³³
225	braid	辫子	*n̩²tsʰy¹pʰe²	n̩²¹tsʰy⁵⁵pʰi²¹	n̩²¹tɕʰy²⁴pʰɛ²¹	n̩²¹tsʰə⁵⁵pi³³	n̩²¹tsʰy⁴⁵³pʰɛi²¹	n̩²¹də⁵⁵tsʰə⁵⁵dʒa²¹	ŋ̩²¹tsʰə²⁴pɨ³³tsa²¹	n̩²¹tsʰə³³pʰai³¹
226	face	脸	*pʰjaŋ²ʔmje̠ᴴ	pʰu̥²¹ʔmɛ̠³³	pʰu²¹me⁴⁴	pʰa²¹mei³³tɕʰi⁵⁵	pʰa²¹mɛi³³	pʰɛ²¹mɛ³³	pʰa̠ʔ²¹ni³³	ba²¹wv̩²¹, pʰa²¹mi⁵⁵
227	eyebrow	眉毛	*ʔmje̠ᴴtsʰam¹	ʔmɛ̠³³ha⁵⁵	me⁴⁴tsɿ⁴⁴tɕʰy³³	mei³³kə⁵⁵	mi⁴⁵tsʰy⁵⁵tsʰy⁵³	mɛ³³ko⁵⁵tsʰə⁵⁵nə⁵⁵	mɨ³³tɕi²⁴	mi⁵⁵tsʰə³³
228	eye	眼睛	*ʔmje̠ᴴsɛ²	ʔmɛ̠³³sɛ²¹	mei⁵⁵sɛ²¹nɛ⁴⁴	mi³³sɛ²¹	mi⁴⁵³sɛ˞²¹	mi³³ɕɛ²¹	mɨ³³ɕɛ²¹	mi⁵⁵sɛ˞⁴¹
229	eyeball	眼球	*ʔmje̠ᴴʔni̠ᴴ	ʔmɛ̠³³ʔly³³	mei⁵⁵sɛ²¹	mei³³ni³³mɔ³³	mi⁴⁵³a³³ɣɨ³³	mi³³ɕɛ²¹ka⁵⁵ni³³	mɨ³³ɕɛ²¹ka³³nio⁵³	mi⁵⁵o³³lo³³
230	tears	眼泪	*ʔmje̠ᴴ(bi¹)ɣi¹	ʔmɛ̠³³ɣɨ⁵⁵	me⁵⁵dzɿ⁴⁴ɣɨ³³	mei³³ji²⁴	mi⁴⁵³dzɿ³³ɣɨ²⁴	mɛ³³bi⁵⁵	ŋ̩̩³³bi²⁴	mi⁵⁵ɣɨ³³
231	nose	鼻子	*ʔna¹kʰaŋ²/³	ʔna⁵⁵kʰə³³	na⁴⁴kʰv̩³³	na⁵⁵kʰɤ̪³³	nɨ˞⁴⁵kʰɤ̪˞³³	no⁵⁵kʰu³³	na²⁴kʰv̩²¹	na⁵⁵kʰo²¹
232	ear	耳朵	*ʔna²paŋ¹	ʔna̤²¹pu⁵⁵	na²¹pu⁴⁴	na²¹pa⁵⁵	na²¹pa⁵⁵kv̩³³	no²¹pa⁵⁵kɛ³³	na²¹pa²⁴	na²¹pu³³
233	cheeks	颊	*ba²	ba̤²¹kʰə⁵⁵tsɿ³³	ba²¹gv̩²⁴, pʰu²¹gu²⁴		bo²¹tɛ˞⁴⁵³		pʰa̠ʔ²¹ni³³kʰu²¹tsuɛ⁵⁵jo³¹	ba²¹wv̩²¹te³³
234	mouth	嘴	*kʰa²pe̠ᶫ	kʰa²¹pʰɛ³³	kʰa²¹pʰɛ⁵³	kʰa²¹pei⁴²	kʰa³³pɛi³³	mə³³tʃu⁵⁵	ɛ²¹mə³³	ma²¹nɛ˞⁵³
235	lips (a)	嘴唇	*mɨ²la³				mɛ˞³³lɛ˞³³gɨ²⁴	n̩²¹la̠³³	ɛ²¹mə³³pʰi³³la̠ʔ²¹	
235	lips (b)	嘴唇	*mɨ²be³dzi³	mʉ³³dzɿ³³	m̩²¹bei⁴⁴dzɿ³³	mə³³dzɿ³³kə²¹				ma²¹nɛ˞⁴⁵bɛ˞⁵³
236	teeth	牙齿	*sy²	sy²¹ɦa⁵⁵	sɛ²¹wo²⁴	sə²¹	sy²¹	so²¹ko⁵⁵, soŋ²¹ko⁵⁵	ɕi²¹	sə²¹
237	front teeth	前牙		a⁵⁵kʰai²¹ma³³pʰɛ³³	ɕy²¹wo²⁴	a⁵⁵kʰɛ²¹mɔ³³sə²¹	wu²¹ɕi⁵⁵xɨ²¹sy²¹	dzo⁵⁵ko⁵⁵jo²¹	ɕi²¹a²⁴gu⁵⁵kʰi²¹	ɣɨ²¹ĩ³³su³³sə²¹
238	back teeth	后牙			ɕy²¹wo²⁴ɣa⁴⁴du³³	dzə²⁴gə²¹sə²¹	ɣɛ˞²⁴tɛ˞³³xɨ²¹sy²¹	dzo⁵⁵ko⁵⁵mo³³	ɕi²¹tsa³³gɨ²¹mo³³	ŋa³³ni²¹su³³sə²¹
239	gums	齿龈		sy²¹ɦa⁵⁵kʰə⁵⁵tɕi³³	ɕy²¹tɕi³³	sə²¹dɔ²¹	sy²¹no²¹gɨ²⁴, sy²¹tɕi³³	soŋ²¹ko⁵⁵xo²¹	ɕi²¹xou²⁴	
240	tongue	舌头	*ʔla¹	ʔla⁵⁵	la⁴⁴	lɔ⁵⁵	lo⁴⁵³	lɛ⁵⁵pɛ⁵⁵	lo²⁴	la³³
241	beard	胡子	*tsʰi̠ᴴ	n̩²¹tsʰɿ̠³³	n̩²¹tsʰɿ⁴⁴	n̩²¹tsʰɿ³³	n̩²¹tsʰɿ³³	m̩²¹pɨ⁵⁵tʃʰɿ³³	doŋ²¹tsʰɿ³³	fv̩²¹tsɿ³³
242	chin	下巴	*mu²pɨ¹daŋ¹	n̩²¹la³³dzɿ³³	m̩²¹bɨ⁴⁴dy⁴⁴	m̩²¹pə⁵⁵da³³dzɿ³³	m̩²¹pɨ⁵⁵ku³³	m̩²¹pɨ⁵⁵	ɛ²¹mə³³pĩ²²ŋa²¹	ɕa³³ba³³kʰo³³
243	neck	脖子	*li¹kaŋ²tsi³	ʐʅ⁵⁵tsɿ³³	lɛ²⁴tsɿ³³	li²⁴ku⁴²dzɿ³³	li²⁴ka³³tsɿ³³, li²⁴tɕi³³	lɨ⁵⁵bɨ⁵⁵	lɨʲ⁵⁵jo³¹	jĩ³³pu²¹
244	throat	喉咙	*ly¹tʰy³	ly⁵⁵tʰy³³	le³³wo⁴⁴tʰy³³	lə²⁴tʰə³³	saŋ²¹ko³³lo³³	lɨ⁵⁵bɨ⁵⁵kʰoŋ³³kʰoŋ³³	kɨ²¹tʰə²⁴dzo³³	jĩ³³tʰə²¹
245	shoulder	肩膀	*pʰa¹kʰɛ²dzɿ³	pʰa⁵⁵kʰɛ̤²¹ŋ²¹dzɿ³³	pʰæ⁵⁵kʰɛ³³dzɿ³³	pʰiɛ⁵⁵kɛ²¹dzɿ³³	pʰɛ˞⁴⁵kʰɛ˞³³dzɿ³³	lu⁵⁵pʰu²¹dʒu³³	lu²⁴pʰaʔ²¹dzu³³	m̩²¹pʰə²¹
246	joint	关节	*vu²tsi̠ᶫ	wo̠²¹tsɿ̠²¹	tsɿ⁵³	tsei⁴²tsɿ³³gɛ²⁴	tsɿ³³	xo²¹ɣɨ²¹tɕi²¹	ɛ³³tɕiŋ²¹	wv̩²¹kɨ³³tsɿ⁵⁴tsɿ⁵³
247	hand/arm	手/胳臂	*le̠ᶫpʰe̠ᴴ/vu²	lɛ̠²¹pʰɛ̠³³	la⁴⁴pʰe⁴⁴	lei⁴²pʰei³³	lɛi³³vv̩˞²¹	lɛ²¹pʰɛ³³	la̠²¹pʰe³³poʔ²¹	lei⁴⁴pʰei⁵³
248	hand	手		lɛ̠²¹pa³³tʂaŋ²¹	lɛ⁵⁵pa²¹tʂʰa³³	lei⁴²tʰa³³di³³	lɛi³³vv̩˞²¹	lɨ²¹ɣɨ²¹	la̠²¹pʰe³³	lei⁵⁵tsa⁴³pa³³
249	arm	手臂		lɛ̠²¹ka³³n̩²¹da⁵⁵	lɛ⁴⁴tsɿ⁵⁵dɛ³³	lei⁴²n̩²¹dɔ³³	a⁴⁵vɛi⁵⁵ly³³ly³³	lɨ²¹ɣɨ²¹tɨ²¹	la̠²¹pʰe³³lv̩²¹dzv̩³³	lei⁴⁵m̩⁴²pa²¹
250	palm	手掌			lɛ⁵⁵pa²¹	lei⁴²tʰa³³di³³	lɛi³³pa³³tʂa³³	li²¹tʰa³³	la̠²¹kʰa²⁴	
251	wrist	手腕	*tsi̠ᶫ	lɛ̠²¹wo̠²¹tsɿ̠²¹	lɛ⁴⁴wo⁵³	lei³³n̩²¹tɕi⁴²	lɛi³³tsɿ³³	li²¹tʰa³³tɕi²¹	la̠²¹pʰe³³tɕiŋ²¹	lei⁴⁴tsɿ⁵⁵kuɛ˞⁴²kuɛ˞²¹
252	elbow	肘	*tsi̠ᶫ	lɛ̠²¹kuai̠²¹tsɿ̠³³	lɛ⁵⁵kuai²¹tsɿ³³	lei⁴²ma²⁴dzɿ³³	lɛi³³kuɛi³³tsɿ³²	li²¹pi²¹ni̠³³	la̠²¹pʰe³³lu²¹so²⁴	lei⁴⁴tsɿ⁵⁵kuɛ˞⁴²kuɛ˞²¹
253	finger	指/手指	*ʔni¹	lɛ̠²¹ʔni⁵⁵	lɛ⁵⁵i³³za²¹	lei⁴²ni⁵⁵	lɛi³³ʔĩ⁴⁵³	li²¹ni⁵⁵	na²¹ni²⁴	lei⁵⁵kʰɨ³³
254	index finger	食指		lɛ̠²¹ʔni⁵⁵kʰɨ²¹sɿ³³	lɛ⁵⁵i³³ma³³ka⁴⁴la⁵⁵			li²¹ni⁵⁵mo³³		
255	pinkie finger	小手指		lɛ̠²¹ʔni⁵⁵za̤²¹	lɛ⁵⁵i³³za²¹	lei⁴²ni⁵⁵zɔ²¹	lɛi³³ʔĩ⁴⁵³zo²¹	tɛ⁵⁵kɛ⁵⁵nɛ⁵⁵	na²¹ni²⁴jo³¹	lei⁵⁵kʰɨ³³za²¹
256	thumb	拇指	*ma³	lɛ̠²¹ʔni⁵⁵ma³³ko̠³³	lɛ⁵⁵i³³ma³³ko³³	lei⁴²ni⁵⁵mɔ³³ku³³	lɛi⁴⁵ʔĩ⁴⁵³mo³³	li²¹mo³³	na²¹ni²⁴zo²¹mo³³	lei⁵⁵kʰɨ³³ma³³
257	fingernail	指甲	*le̠ᶫku²sɛ²	lɛ̠²¹kə̤²¹sɛ̤²¹	lɛ⁵⁵kʰv̩²¹sɛ²¹	lei⁴²ni⁵⁵kʰu²¹sɛ²¹	lɛi³³kɨ˞²¹sa²¹	li²¹ku²¹sɛ²¹	lv̩²²kv̩²²ɕɛ²¹	lei⁵⁵kʰɨ³³sɛ˞²¹
258	buttocks	屁股	*daŋ¹	tsʰɿ²¹tə³³kʰə⁵⁵	du²⁴bɛ²¹dzɿ³³	ta⁵⁵pə⁵⁵	da⁴⁴pʰi⁵⁵ku²¹	pʰɛ²¹dɛ²¹	kʰi³³dv̩²¹	tsʰɛ˞²¹bi³³bi³³
259	hip	臀部		du⁵⁵pʰɛ̠²¹tsɿ³³		da²⁴n̩²¹dzɿ³³	da⁴⁴ti⁵⁵pɛ˞³³	da⁵⁵ɣɨ²¹tʃo³³	kʰi³³dv̩³³pa²¹pʰa²⁴	
260	foot/leg	脚/腿	*kʰi¹pʰe̠ᴴ	kʰɨ⁵⁵pʰɛ̠³³	kʰɨ⁴⁴pʰe⁴⁴	tɕʰi⁵⁵pei³³	kʰɨ⁴⁵³vv̩˞²¹	kʰi⁵⁵pʰɛ³³	bɨi⁵³po²¹	kɛ˞³³vv̩²¹
261	leg	腿	*kʰi¹	kʰɨ⁵⁵pʰɛ̠³³	kʰɨ⁴⁴pʰe⁴⁴	tɕʰi⁵⁵pei³³	kʰɨ⁴⁵³vv̩˞²¹	kʰi⁵⁵pʰɛ³³	bɨ⁵⁵tɕɛ²¹	li²¹ku³³
262	foot	脚	*kʰi¹	kʰɨ⁵⁵pʰɛ̠³³	kʰɨ⁴⁴pʰe⁴⁴	tɕʰi⁵⁵pei³³pia²¹	kʰɨ⁴⁵pa⁴³³	kʰi⁵⁵tʰa³³	bɨ⁵⁵i³³	kɛ˞³³vv̩²¹
263	thigh	大腿		pʰa̤²¹tʰuei̤²¹	kʰɨ⁵⁵tʰy³³	pʰi³³pɛ³³dzɿ³³		da⁵⁵ɣɨ²¹pɨ⁵⁵tsa²¹	bɨ⁵⁵tɕɛ²¹	li²¹ku³³vɛ˞²¹
264	calf (of leg)	小腿		kʰɨ⁵⁵wu²¹a⁵⁵pʉ²¹pʉ²¹	xɛ⁵⁵tʰu²¹	tɕa³³pa³³dzɿ³³	kʰɨ⁴⁵³dzɿ³³ɕi⁴⁴li⁴⁴	da⁵⁵ɣɨ²¹na²¹kʰɛ³³	bɨi⁵³ta²¹tio⁵³	li²¹ku³³za²¹
265	sole (of foot)	脚底		kʰɨ⁵⁵tsʰa̤²¹ti̤²¹tsɿ³³	kʰɨ⁴⁴di³³	tɕʰi⁵⁵ta³³ti³³	kʰɨ⁴⁵³pa⁴⁴di²¹tsɿ³³	kʰi⁵⁵tʰa³³	bɨi⁵³kʰi³³tʰa²¹	kɛ˞³³vv̩²¹ti³³pɛ˞²¹
266	heel	脚后跟			kʰɨ⁴⁴tɛ²¹	ɣə²¹bə³³ni⁵⁵	kʰɨ⁴⁵³ai³³tsɿ³³	kʰi⁵⁵bi²¹ni³³	bɨi⁵³ɕi²¹ti²¹	kɛ˞³³wv̩²¹hou²¹kən³³
267	ankle (joint)	踝	*kʰi¹ʔmje̠ᴴ	kʰɨ⁵⁵ʔmɛ̠³³sɛ²¹	kʰɨ⁴⁴mi⁵⁵sɛ²¹	tɕʰi⁵⁵ni⁵⁵mi³³sɛ²¹	kʰɨ⁴⁵³vv̩˞²¹mi⁵⁵sɛ˞²¹	a⁵⁵tɕʰi²¹mɛ³³ta³³	bɨi⁵³tɕiŋ²¹kʰu²¹tsuɛ⁵⁵jo²¹	kɛ˞³³wv̩²¹lo²¹sɿ³³
268	knee	膝/膝盖		ɦɛ⁵⁵o³³dzɿ³³	kʰɨ⁴⁴tsɿ⁵³	tɕʰi⁵⁵tɕʰi³³na⁵⁵kʰɤ̪³³	po³³lo³³kai⁴⁵³	bu⁵⁵lu³³kʰu⁵⁵	ba²⁴na⁵⁵kʰu³³	kʰə⁴⁴tsɿ⁴⁴tʰɛ˞⁵³
269	toe	趾/脚趾		kʰɨ⁵⁵ʔni⁵⁵	kʰẽ⁵⁵i³³za²¹	tɕʰi⁵⁵ni⁵⁵	kʰɨ⁵⁵ʔĩ⁴⁵³	kʰi⁵⁵ni⁵⁵	bɨi⁵³na²¹ni²⁴	kɛ˞³³wv̩²¹lei⁵⁵kʰɨ³³
270	big toe	大趾		kʰɨ⁵⁵ʔni⁵⁵ma³³ko̠³³	kʰɨ⁵⁵i³³ma³³ko³³	tɕʰi⁵⁵ni⁵⁵mɔ³³ku³³	kʰɨ⁵⁵ʔĩ⁴⁵³mo³³	kʰi⁵⁵mo³³	bɨi⁵³na²¹ni²⁴zo²¹mo³³	kɛ˞³³wv̩²¹lei⁵⁵kʰɨ³³ma³³
271	chest	胸脯		ɕioŋ³³kʰou²¹	ni⁴⁴ma³³õ²¹	ə³³la²¹	tɛi⁴⁴ku⁴⁴	tu⁵⁵kʰu²¹, n̩²¹tu⁵⁵kʰu²¹	ni̠³³mo³³kua²⁴	pʰu²¹ɕoŋ³³
272	back	脊背	*ka(ŋ)²ta(ŋ)³si³	kə²¹ta³³	ko²¹tɛ³³sɛ³³	kɔ²¹ta³³sə⁵⁵	ka²¹tɛi³³	pʰɛ⁵⁵	lv̩²¹dzv̩³³	zu⁵⁵pa⁴¹
273	breast	乳房	*a¹tʃɨ̠ᴴbe̠ᴴ	a⁵⁵tʂʅ̠³³bɛ̠³³	i⁴⁴tʂʅ⁴⁴bɛ⁴⁴	a⁵⁵tsɿ³³bei³³	a⁵⁵tʂʅ³³bɛi³³	a⁵⁵tʃɿ³³	o²⁴tɕi³³ɕɛ²¹	a⁵⁵tsɿ⁵⁵bi⁴⁵³
274	armpit	腋下/腋窝	*ka²	lɛ̠²¹ta̠²¹i⁵⁵ta⁵⁵kʰə³³	lɛ⁵⁵ka²¹tsɿ³³	ti⁵⁵ku⁴²li³³	lɛi³³da⁴⁴kʰɤ̪˞³³	li²¹ku²¹lɛ³³	pʰa³³kua²⁴	tsɛ˞²¹tsɛ˞⁵⁵kʰo³³
275	skin	皮肤	*gi¹ko̠ᴴ	gɨ⁵⁵	xa²¹sɛ²¹, gɨ²⁴	xɔ²¹sei⁴²	xo²¹gɨ²⁴kv̩³³	jɛ²¹gi⁵⁵	ɛ²¹gi²⁴	xa²¹sai⁵³
276	bone	骨头	*ɣo²	ɦa̤²¹da⁵⁵dzɿ³³	wo²¹da²⁴dzɿ³³	xɔ²¹ka³³tʰə³³	vv̩²¹ka²¹	xo²¹ɣɨ²¹	ŋ̩̩³³ga²¹	vv̩²¹kɨ³³
277	rib	肋骨	*ʔny¹	ʔly⁵⁵		nə⁵⁵gə²¹	lə²⁴pa³³	nɛ⁵⁵kʰɛ⁵⁵	ni²⁴gɨʲ³³jo³¹	nəŋ⁴⁴kɨ⁵⁵pa⁴¹
278	stomach	胃	*he̠ᶫ	hɛ̠²¹ma³³ko̠³³	xɛ⁵⁵ma³³ko³³	ni³³mɔ³³kʰɔ²¹	wɛi⁵³	xo²¹xɛ²¹mo³³	ɛ³³xɛ̠ʔ²¹mo³³	xai⁵⁵m̩²¹tʰə⁵³
279	belly (a)	肚子/腹部	*he̠ᶫma³dzɿ³		xɛ⁵⁵ma³³dzɿ³³		tu⁵⁵tsɿ²¹			
279	belly (b)	肚子/腹部	*he̠ᶫpy¹	hɛ̠²¹pə⁵⁵də⁵⁵		xei⁴²pə⁵⁵		xɛ²¹pə⁵⁵	ɛ²¹pɨ²⁴po³³	xai⁵⁵pɨ³³
280	navel	脐(肚脐)	*tʃʰe̠ᴴ du¹/²	tɕʰɛ̠³³ma³³də²¹	du²⁴tsʰɛ²¹	zɿ⁴²kɤ̪³³tei³³	tɕʰi⁴⁵mu⁵⁵du²¹	toŋ²¹tsu⁵⁵lu³³	tɕiŋ²⁴du³³	tsʰai⁵⁵do⁴¹
281	waist	腰	*dʒo̠ᶫ	dʐo̠²¹	dʐu⁵⁵la⁴⁴n̩²¹dzɿ³³	dzou⁴²	dʐu̠³³	dʒo²¹	dzu̠ʔ³¹	ʐuən²¹jao³³
282	kidney	肾/腰子	*di¹	di⁵⁵	di²⁴	ja³³di²⁴zɔ²¹	di²⁴ʔø³³	ma⁵⁵laŋ³³	ɛ²²ma²¹laŋ⁵³	xuo²¹jao³³dzɿ³³
283	intestines	肠子	*he̠ᶫvu¹	hɛ̠²¹v̩⁵⁵	xɛ⁵⁵vv̩³³	xei⁴²vɤ̪²⁴	xai⁴⁴vv̩²⁴	xo²¹wu⁵⁵	ɛ²¹vɨi⁵⁵jo³¹	xai⁵⁵vv̩³³
284	heart	心	*ʔni̠ᴴma³	ʔɲɛ̠³³ma³³	ni⁴⁴ma³³	ni³³mɔ³³	ĩ⁴⁵³mo³³	mo³³sɛ²¹	ni̠³³mo³³cɛ²¹	i⁵⁵ma³³
285	liver	肝	*se²tsɛ¹	sɿ²¹tsɛ⁵⁵	sɿ²¹tsɛ²⁴	sei²¹	sɿ²¹tsɛ˞⁵⁵	xo²¹sɿ²¹	ɛ⁵⁵ɕi²¹kʰa̠ʔ³³	sɿ²¹kɨ³³
286	lung	肺/肺脏	*tsʰɛ²ma³pʰu²	tsʰɿ²¹fv̩²¹	tsʰɛ²¹ma³³fv̩²¹	tsʰɿ²¹pʰə²¹	fɛi⁴⁵³	xo²¹sɿ²¹pʰɑ²¹	ɛ²¹fv̩ʲ²⁴	fei⁴¹
287	bladder	膀胱	*tsʰi²pʰu²	sɛ²¹pi²¹	tsʰɛ̃n²¹fv̩²¹	sa²¹tʰɤ̪²¹	saŋ²¹pʰu²¹lu²¹	ɕi⁵⁵pʰu²¹	ɛ²¹tɕi³⁵pʰv̩²¹	tsʰa²¹pʰo²¹lo³³
