no.	gloss	Akha Chicho	Akha Buli
125	lake	lɔŋ³³ma̰³³	lɔŋ³³ma̰³³
126	river	lɔ⁵⁵ba²¹	lɔ̰³³ɣɔ̰³³
127	fire	mi²¹dza²¹	mi²¹dza²¹
128	smoke	u²¹xø²¹	(mi²¹dza²¹) u²¹xø²¹
129	house	ȵuŋ³³~juŋ³³	juŋ³³
130	roof	xɔ²¹bø²¹	(juŋ³³) kʰɔ²¹bø²¹
131	grave	tsʰɔ³³ɕi³³mɔ³³du²¹	lm²¹bjuŋ⁵⁵
132	to open	pʰɤŋ³³	pʰɤŋ³³
133	to close	ka̰²¹pʰi²¹	pʰi²¹tʰɛ²¹
134	pillar	dɤŋ³³lɤŋ³³	xɔ³³zɤ³³
135	door	lɛ⁵⁵ɔ̰³³	la⁵⁵ɔ̰³³
136	window	lɛ⁵⁵ɔ̰³³ja²¹	la⁵⁵ɔ³³ɔ³³za²¹
137	floor	tsʰɔ²¹du²¹	juŋ³³dzoŋ³³ɣa³³
138	key	mɔ²¹tɔ̰²¹tɔ̰²¹du⁵⁵	mo²¹tɔ²¹tɔ²¹du⁵⁵
139	mat	gɔ²¹pʰu³³	ɣa̰³³la̰³³
140	covering	a⁵⁵bɯ̰³³	a⁵⁵bɯ̰³³
141	pillow	uŋ³³ɣuŋ³³pʰa⁵⁵ɕi²¹	u²¹gm²¹pʰa⁵⁵si²¹
142	mosquito net	bɤ³³kʰa³³	bɤ³³kʰa³³
143	table	bo²¹da²¹	dʑɔ̰²¹xa̰³³xɔ²¹dʑɛ³³, a⁵⁵bɔ⁵⁵xɔ²¹ʥɛ³³
144	chair	nɤŋ⁵⁵da²¹	nɤŋ⁵⁵ʥɛ̰³³, nɤŋ⁵⁵gɔ²¹, nɤŋ⁵⁵bo²¹
145	to sweep	ja̰³³pʰjɔ⁵⁵ja̰³³	ja²¹pʰjo⁵⁵ ja²¹[1]
146	to splash water	u⁵⁵tɕṵ²¹ɕɛ³³dzɛ³³	ɤ³³ʨṵ²¹ xɔ̰²¹dzɛ̰³³
147	knife	mi³³tɕʰɛ⁵⁵	mi²¹ʨʰɛ³³ʥi³³ba²¹, mi²¹ʨʰɛ³³tʰɔ²¹ʨʰø²¹
148	sword	mi⁵⁵tɕʰɛ⁵⁵tʰɤŋ³³ma³³	mi²¹ʨʰɛ³³tʰɔ³³ma³³
149	sickle	jɛ̰³³xo̰³³	jɛ̰³³xo̰²¹
150	to cut	dɤ³³xe³³, jɛ̰²¹	lɯ̰³³tsɛ̰³³, jɛ̰²¹pa̰³³, jɛ̰²¹tsɛ̰³³
151	nail	ɕoŋ⁵⁵tɕʰɛ³³	ɕoŋ⁵⁵ʨʰɛ³³
152	ladder	dɔ²¹dzuŋ³³	dzo²¹dzm³³
153	basket	xa³³dza̰³³	xa²¹kʰa³³, kʰa²¹tʰu⁵⁵, etc.
154	rope	a⁵⁵tɕa̰³³	a³³ʨa̰²¹
155	stick	gɔ²¹jø²¹	gɔ̰²¹jø²¹
156	tail	dɔ²¹mi²¹	dɔ²¹mi²¹
157	horn	u²¹tɕʰø⁵⁵	u²¹ʨʰy⁵⁵
